;Razon social;;;;;HARCHA MAQUINARIA  SPA;;;;;;;;Fecha de emisión;;;15-01-2026;;;
;R.U.T;;;;;76.858.929-1;;;;;;;;;;;;;;
;Dirección;;;;;CALLE SERVICIO ORIENTE 700 , Comuna LOS LAGOS;;;;;;;;;;;;;;
;Giro;;;;;Venta Al Por Mayor De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Construcción;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
MOVIMIENTOS DE CONTROL POR OBRA Y CENTRO DE COSTO;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fechas: 01-10-2025 al 31-12-2025;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Obra;;;;;20601 PLANTA HORMIGON;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
C.Costo;;;;;2060100001 PLANTA HORMIGON MOVIL;;;;;;;;;;;;;;;
Cuenta;;;;;401010102 REPUESTOS Y ACCESORIOS;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
8;;;Octubre;;12.361;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;13.205;FAEL/13205/AMERICAN IMPORTS SPA;;;35.648;;;;;;-35.648;
30;;;Octubre;;12.559;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;13.196;PERNOS GOLILLAS -TUERCAS  P.HRMIGON MOVIL;;;8.040;;;;;;-43.688;
31;;;Octubre;;12.815;;Traspaso;;0;MANGUERA 1;;;212.840;;;;;;-256.528;
31;;;Octubre;;12.815;;Traspaso;;0;CONECTOR BRONCE P/BARRA TOMA TIERRA;;;3.117;;;;;;-259.645;
31;;;Octubre;;12.815;;Traspaso;;0;CANDADO 40 MM;;;18.040;;;;;;-277.685;
31;;;Octubre;;12.815;;Traspaso;;0;ESCOBILLA DE ACERO;;;8.397;;;;;;-286.082;
31;;;Octubre;;12.815;;Traspaso;;0;BARRA DE COBRE;;;13.659;;;;;;-299.741;
31;;;Octubre;;12.815;;Traspaso;;0;ACEITE MOBIL FLUID 424;;;31.360;;;;;;-331.101;
31;;;Octubre;;12.815;;Traspaso;;0;ABRAZADERA;;;10.626;;;;;;-341.727;
31;;;Octubre;;12.815;;Traspaso;;0;PINTURA;;;25.223;;;;;;-366.950;
18;;;Diciembre;;13.574;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;5.860;CONTENEDOR SOBREPUESTO -PULSADOR IMBRE P.HORMIGON MOVIL;;;7.353;;;;;;-374.303;
30;;;Diciembre;;13.719;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;14.275;FAEL/14275/AMERICAN IMPORTS SPA;;;25.000;;;;;;-399.303;
;;;;;;;;;;;;;;;;;;;;
Total 401010102 REPUESTOS Y ACCESORIOS;;;;;;;;;;;;;399.303;;;;;;-399.303;
Cuenta;;;;;401020107 CORRESPONDENCIA;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
26;;;Noviembre;;12.952;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;12.929.984;ENCOMIENDA P.HORMIGON MOVIL;;;10.955;;;;;;-10.955;
31;;;Diciembre;;13.789;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;12.981.564;ENCOMIENDA P.HORMIGON MOVIL;;;38.222;;;;;;-49.177;
;;;;;;;;;;;;;;;;;;;;
Total 401020107 CORRESPONDENCIA;;;;;;;;;;;;;49.177;;;;;;-49.177;
;;;;;;;;;;;;;;;;;;;;
Total 2060100001 PLANTA HORMIGON MOVIL;;;;;;;;;;;;;448.480;;;;;;-49.177;
;;;;;;;;;;;;;;;;;;;;
Total 20601 PLANTA HORMIGON;;;;;;;;;;;;;448.480;;;;;;-448.480;
Total General;;;;;;;;;;;;;448.480;;;;;;-448.480;
