;Razon social;;;;;HARCHA MAQUINARIA  SPA;;;;;;;;Fecha de emisión;;;15-01-2026;;;
;R.U.T;;;;;76.858.929-1;;;;;;;;;;;;;;
;Dirección;;;;;CALLE SERVICIO ORIENTE 700 , Comuna LOS LAGOS;;;;;;;;;;;;;;
;Giro;;;;;Venta Al Por Mayor De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Construcción;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
MOVIMIENTOS DE CONTROL POR OBRA Y CENTRO DE COSTO;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fechas: 01-10-2025 al 31-12-2025;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Obra;;;;;10101 OFICINA CENTRAL;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
C.Costo;;;;;1010100002 TALLER;;;;;;;;;;;;;;;
Cuenta;;;;;301010201 INGRESOS SERVICIOS TALLER;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
30;;;Diciembre;;13.699;;Traspaso;FACTURA ELECTRONICA CLIENTES;2.599;FECN/2599/INGENIERIA Y CONSTRUCCION HARCHA LTDA;;;;;;5.390;;;5.390;
;;;;;;;;;;;;;;;;;;;;
Total 301010201 INGRESOS SERVICIOS TALLER;;;;;;;;;;;;;;;;5.390;;;5.390;
Cuenta;;;;;401010101 COMBUSTIBLES;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
17;;;Octubre;;12.174;;Traspaso;;5.512.566;4 LTS GASOLINA TRASLADO RAMIRO;;;6.000;;;;;;-6.000;
31;;;Octubre;;12.813;;Traspaso;;0;DIESEL;;;25.560;;;;;;-31.560;
31;;;Octubre;;12.813;;Traspaso;;0;DIESEL;;;51.360;;;;;;-82.920;
31;;;Octubre;;12.813;;Traspaso;;0;DIESEL;;;34.240;;;;;;-117.160;
