Fecha;Código Máquina;Centro Costo;Código Cuenta;Cuenta;Glosa;Gasto;Ingreso
01-10-2025;;1010100002 TALLER;401010102;REPUESTOS Y ACCESORIOS;FAEL/1526/RAMIREZ SAEZ ISMAEL ERISALDO;$34,454;
01-10-2025;;1010100002 TALLER;401010102;REPUESTOS Y ACCESORIOS;NCEL/312/AMERICAN IMPORTS SPA;$190,520;$156,066
01-10-2025;;1010100002 TALLER;401010106;SERVICIO TRANSPORTES;FAEL/57896/TRANSPORTES PPF LTDA;$380,000;
01-10-2025;;1010100002 TALLER;401020101;401020101 GASTOS DE OFICINA;FAEL/6104694/COPEVAL S.A.;$29,290;
01-10-2025;;1010100002 TALLER;401020102;401020102 LUZ;FAEL/9704573/SOC. AUSTRAL DE ELECTRICIDAD;$745,116;
01-10-2025;;1010100002 TALLER;401020103;401020103 AGUA;FAEL/10113/AGUAS SANTA VALENTINA SPA;$44,000;
01-10-2025;C-01;2030100026 C-01 HYUNDAI  DZXV32;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$30,195;
01-10-2025;C-03;2030100027 C-03 NISSAN FSLK53;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,053;
01-10-2025;C-04;3010100002 C-04 JAC GBPH77;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,052;
01-10-2025;C-06;2030100017 C-06 MAHINDRA  GZZB73;401010103;REPARACIONES Y MANTENCION;FAEL/332/MECANICA A DOMICILIO JAVIER SOTO JARA EIR;$600,000;
01-10-2025;C-06;2030100017 C-06 MAHINDRA  GZZB73;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,052;
01-10-2025;C-12;2030100009 C-12 MITSUBISHI  JZRK53;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,053;
01-10-2025;C-13;2030100004 C-13 MITSUBISHI  KPGT73;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,053;
01-10-2025;C-14;3010100010 C-14 MITSUBISHI KPGT71;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,053;
01-10-2025;C-15;2030100003 C-15 MITSUBISHI  KPGT72;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,053;
01-10-2025;C-16;2030100001 C-16 MITSUBISHI  KPGT70;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,052;
01-10-2025;C-17;2030100005 C-17 MITSUBISHI  KPGT74;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,053;
01-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$97,276;
01-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$97,276;
01-10-2025;C-21;2030100038 C-21 MITSUBISHI L200 RCZX26;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$97,276;
01-10-2025;C-22;2030100039 C-22 MITSUBISHI L200 RCZX28;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$97,276;
01-10-2025;C-23;2030100036 C-23 MAXUS  RCWX81;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$97,277;
01-10-2025;C-24;2030100037 C-24 MAXUS RCXB16;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$97,277;
01-10-2025;C-31;2030100014 C-31 DODGE GLLL86;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$30,195;
01-10-2025;C-39;2030100060 C-39 MAXUS T60 4x4 2.8 DXCS SRPL60;401010105;401010105 PEAJES Y TRANSBORDAD;FAEL/11916279/SOC CONCESIONARIA AUTOPISTA CENTRAL;$2,408;
01-10-2025;C-43;3010100013 C-43 MITSUBISHI L200 STWW21;401010105;401010105 PEAJES Y TRANSBORDAD;FAEL/5897563/SOCIEDAD CONCESIONARIA NORTE S.A.;$3,610;
01-10-2025;C-43;3010100013 C-43 MITSUBISHI L200 STWW21;401010105;401010105 PEAJES Y TRANSBORDAD;FAEE/1531771/SOC CONCESIONARIA RUTA 5;$24,800;
01-10-2025;C-43;3010100013 C-43 MITSUBISHI L200 STWW21;401010105;401010105 PEAJES Y TRANSBORDAD;FAEE/907619/SOCIEDAD CONCESIONARIA VALLES DEL BIO ;$7,200;
01-10-2025;C-47;2030100064 C-47 FORD F150 SXLL36;401010115;POLIZA DE SEGURO;FAEL/8020176/Seguros Generales Suramericana Sa;$83,052;
01-10-2025;C-53;3010100017 CAMIONETA RAPTOR VGKX-71;401010106;SERVICIO TRANSPORTES;FAEL/4466967/DHL EXPRESS ( CHILE) LTDA;$20,448;
01-10-2025;C-53;3010100017 CAMIONETA RAPTOR VGKX-71;401010106;SERVICIO TRANSPORTES;FAEL/4466967/DHL EXPRESS ( CHILE) LTDA;$80,330;
01-10-2025;C-53;3010100017 CAMIONETA RAPTOR VGKX-71;401010115;POLIZA DE SEGURO;FAEL/2916528/Zurich Chile Seguros Generales S.a.;$115,802;
